"Object","Chain Id","Account Address","Address","Name","Symbol","Decimals","Icon Url","Raw Balance","Balance","Currency","Price","Market Value"
"token","25","0x55d398326f99059ff775485246999027b3197955","0x0000000000000000000000000000000000000000","Cronos","CRO","18","https://token.api.cx.metamask.io/assets/nativeCurrencyLogos/cronos.svg","60954177300351391762","60.95417730035139","usd","0.100743","6.1407066837693"
"token","1313161554","0x55d398326f99059ff775485246999027b3197955","0x4988a896b1227218e4a686fde5eabdcabd91571f","Rainbow Bridged USDT  Aurora ","USDTE","6","https://assets.coingecko.com/coins/images/35055/thumb/USDT.png?1707233747","6668713","6.668713","usd","1.003","6.688719139"
"token","42220","0x55d398326f99059ff775485246999027b3197955","0x471ece3750da237f93b8e339c536989b8978a438","CELO","CELO","18","https://token.api.cx.metamask.io/assets/nativeCurrencyLogos/celo.svg","469549500000000000","0.4695495","usd","0.404524","0.189944041938"
"token","42220","0x55d398326f99059ff775485246999027b3197955","0x48065fbbe25f71c9282ddf5e1cd6d6a887483d5e","Tether","USDT","6","https://assets.coingecko.com/coins/images/325/thumb/Tether.png?1696501661","21005200","21.0052","usd","1","21.0052"
"token","42220","0x55d398326f99059ff775485246999027b3197955","0x62b8b11039fcfe5ab0c56e502b1c372a3d2a9c7a","GoodDollar","G","18","https://assets.coingecko.com/coins/images/14782/thumb/G__Coin_%281%29.png?1696514451","113219999999999998863","113.22","usd","0.00009203000000000707","0.0104196366000008"
"token","42220","0x55d398326f99059ff775485246999027b3197955","0x1d18d0386f51ab03e7e84e71bda1681eba865f1f","JumpToken","JMPT","18","https://assets.coingecko.com/coins/images/22603/thumb/200x200.png?1696521919","5079958210400000000","5.0799582104","usd","1.007","5.1155179178728"
"token","42220","0x55d398326f99059ff775485246999027b3197955","0xc16b81af351ba9e64c1a069e3ab18c244a1e3049","EURA","EURA","18","https://assets.coingecko.com/coins/images/19479/thumb/agEUR-4.png?1710726218","1000000000000000000","1","usd","1.12","1.12"
"token","43114","0x55d398326f99059ff775485246999027b3197955","0x9702230a8ea53601f5cd2dc00fdbc13d4df4a8c7","Tether","USDT","6","https://assets.coingecko.com/coins/images/325/thumb/Tether.png?1696501661","1289184221","1289.184221","usd","1","1289.184221"
"token","43114","0x55d398326f99059ff775485246999027b3197955","0xa7d7079b0fead91f3e65f86e8915cb59c1a4c664","Avalanche Bridged USDC  Avalanche ","USDCE","6","https://assets.coingecko.com/coins/images/23263/thumb/3408.png?1696522483","2000000","2","usd","1.003","2.006"
"token","43114","0x55d398326f99059ff775485246999027b3197955","0xc7198437980c041c805a1edcba50c1ce5db95118","Bridged Tether  Avalanche ","USDTE","6","https://assets.coingecko.com/coins/images/24189/thumb/Usdt.e.png?1696523377","1554845785","1554.845785","usd","1.001","1556.4006307849997"
"token","43114","0x55d398326f99059ff775485246999027b3197955","0x0000000000000000000000000000000000000000","Avalanche","AVAX","18","https://token.api.cx.metamask.io/assets/nativeCurrencyLogos/avalanche.svg","199900803415554461332","199.90080341555446","usd","23.64","4725.654992743707"
"token","324","0x55d398326f99059ff775485246999027b3197955","0x493257fd37edb34451f62edf8d2a0c418852ba4c","Bridged USDT","USDT","6","https://assets.coingecko.com/coins/images/35001/thumb/logo.png?1706959346","56316320","56.31632","usd","1.001","56.37263631999999"
"token","324","0x55d398326f99059ff775485246999027b3197955","0x3355df6d4c9c3035724fd0e3914de96a5a83aaf4","zkSync Bridged USDC  zkSync ","USDC","6","https://assets.coingecko.com/coins/images/35262/thumb/USDC_Icon.png?1708008941","30300000","30.3","usd","0.999901","30.2970003"
"token","324","0x55d398326f99059ff775485246999027b3197955","0x0000000000000000000000000000000000000000","Ether","ETH","18","https://token.api.cx.metamask.io/assets/nativeCurrencyLogos/ethereum.svg","193000000000000","0.000193","usd","2575.94","0.49715642000000004"
"token","250","0x55d398326f99059ff775485246999027b3197955","0x8d11ec38a3eb5e956b052f67da8bdc9bef8abf3e","Multichain Bridged DAI  Fantom ","DAI","18","https://assets.coingecko.com/coins/images/39788/thumb/dai.png?1724111033","1200000000000000000","1.2","usd","0.023402350000000013","0.028082820000000015"
"token","250","0x55d398326f99059ff775485246999027b3197955","0x04068da6c83afcfa0e13ba15a6696662335d5b75","Multichain Bridged USDC  Fantom ","USDC","6","https://assets.coingecko.com/coins/images/35222/thumb/USDC.jpg?1707919936","50017500000","50017.5","usd","0.056112","2806.58196"
"token","250","0x55d398326f99059ff775485246999027b3197955","0x321162cd933e2be498cd2267a90534a804051b11","Fantom Bridged WBTC  Fantom ","WBTC","8","https://assets.coingecko.com/coins/images/39531/thumb/wbtc.png?1722809952","270000","0.0027","usd","2590.2","6.99354"
"token","250","0x55d398326f99059ff775485246999027b3197955","0x049d68029688eabf473097a2fc38ef61633a3c7a","Frapped USDT","FUSDT","6","https://assets.coingecko.com/coins/images/21949/thumb/frapped.png?1696521298","298174881","298.174881","usd","1.18","351.84635958"
"token","250","0x55d398326f99059ff775485246999027b3197955","0x0000000000000000000000000000000000000000","FANTOM","FTM","18","https://token.api.cx.metamask.io/assets/nativeCurrencyLogos/ftm.svg","158219794510791339030","158.21979451079133","usd","0.602043","95.25511974666034"
