"Object","Chain Id","Account Address","Address","Name","Symbol","Decimals","Icon Url","Raw Balance","Balance","Currency","Price","Market Value"
"token","1","0x7afa9d836d2fccf172b66622625e56404e465dbd","0x1121acc14c63f3c872bfca497d10926a6098aac5","Department Of Government Efficiency","DOGE","18","","","598426.6328441789","usd","0.03400025","20346.66"
"token","1","0x7afa9d836d2fccf172b66622625e56404e465dbd","0x1d4fb9bfa1967be6ca74819e28b98c2aa5ae8b59","Neirei","NEIREI","9","","","18665314.07993409","usd","0.00000161999999999772","30.24"
"token","1","0x7afa9d836d2fccf172b66622625e56404e465dbd","0x2260fac5e5542a773aa44fbcfedf7c193bc2c599","Wrapped BTC","WBTC","8","","","0.55899253","usd","105234","58825.02"
"token","1","0x7afa9d836d2fccf172b66622625e56404e465dbd","0x26e550ac11b26f78a04489d5f20f24e3559f7dd9","Kekius Maximus","KEKIUS","9","","","874891.224288758","usd","0.050678","44337.74"
"token","1","0x7afa9d836d2fccf172b66622625e56404e465dbd","0x28561b8a2360f463011c16b6cc0b0cbef8dbbcad","MOO DENG","MOODENG","9","","","139250554.5187637","usd","0.00004731","6587.94"
"token","1","0x7afa9d836d2fccf172b66622625e56404e465dbd","0x2e44f3f609ff5aa4819b323fd74690f07c3607c4","PinLink","Pin","18","","","21059.72459106585","usd","0.798228","16810.46"
"token","1","0x7afa9d836d2fccf172b66622625e56404e465dbd","0x3ffeea07a27fab7ad1df5297fa75e77a43cb5790","PeiPei","PEIPEI","18","","","275425386741.6487","usd","5.3001e-8","14597.82"
"token","1","0x7afa9d836d2fccf172b66622625e56404e465dbd","0x42069026eac8eee0fd9b5f7adfa4f6e6d69a2b39","MSTR2100","MSTR","9","","","25326.629554145","usd","0.190412","4822.49"
"token","1","0x7afa9d836d2fccf172b66622625e56404e465dbd","0x44ff8620b8ca30902395a7bd3f2407e1a091bf73","Virtual Protocol","VIRTUAL","18","","","14639.148103646143","usd","2.06","30156.65"
"token","1","0x7afa9d836d2fccf172b66622625e56404e465dbd","0x57e114b691db790c35207b2e685d4a43181e6061","ENA","ENA","18","","","68325.24392025702","usd","0.402447","27497.29"
"token","1","0x7afa9d836d2fccf172b66622625e56404e465dbd","0x582d872a1b094fc48f5de31d3b73f2d9be47def1","Wrapped TON Coin","TONCOIN","9","","","1192.371498663","usd","3.18","3791.74"
"token","1","0x7afa9d836d2fccf172b66622625e56404e465dbd","0x58cb30368ceb2d194740b144eab4c2da8a917dcb","ZynCoin","ZYN","18","","","150212.3806627013","usd","0.0110256","1656.18"
"token","1","0x7afa9d836d2fccf172b66622625e56404e465dbd","0x594daad7d77592a2b97b725a7ad59d7e188b5bfa","Apu Apustaja","APU","18","","","83907220.14531736","usd","0.00028005","23498.22"
"token","1","0x7afa9d836d2fccf172b66622625e56404e465dbd","0x67466be17df832165f8c80a5a120ccc652bd7e69","Landwolf","WOLF","18","","","216367931.00274235","usd","0.00006381","13806.44"
"token","1","0x7afa9d836d2fccf172b66622625e56404e465dbd","0x68bbed6a47194eff1cf514b50ea91895597fc91e","Andy","ANDY","18","","","220558182.30394167","usd","0.0000861","18990.06"
"token","1","0x7afa9d836d2fccf172b66622625e56404e465dbd","0x6982508145454ce325ddbe47a25d4ec3d2311933","Pepe","PEPE","18","","","4856782763.659901","usd","0.00001409","68432.07"
"token","1","0x7afa9d836d2fccf172b66622625e56404e465dbd","0x6e79b51959cf968d87826592f46f819f92466615","Hoppy","HOPPY","9","","","156761276.858314","usd","0.00003933","6165.42"
"token","1","0x7afa9d836d2fccf172b66622625e56404e465dbd","0x72e4f9f808c49a2a61de9c5896298920dc4eeea9","HarryPotterObamaSonic10Inu","BITCOIN","8","","","221166.52662606","usd","0.079359","17551.55"
"token","1","0x7afa9d836d2fccf172b66622625e56404e465dbd","0x812ba41e071c7b7fa4ebcfb62df5f45f6fa853ee","Neiro","Neiro","9","","","13696857.098574625","usd","0.00063406","8684.63"
"token","1","0x7afa9d836d2fccf172b66622625e56404e465dbd","0x8ed97a637a790be1feff5e888d43629dc05408f6","Non-Playable Coin","NPC","18","","","870216.9596561055","usd","0.01788059","15559.99"
"token","1","0x7afa9d836d2fccf172b66622625e56404e465dbd","0x9e18d5bab2fa94a6a95f509ecb38f8f68322abd3","AMATERASU OMIKAMI","OMIKAMI","9","","","434931.436902366","usd","0.03086089","13422.37"
"token","1","0x7afa9d836d2fccf172b66622625e56404e465dbd","0x9fd9278f04f01c6a39a9d1c1cd79f7782c6ade08","Biaoqing","BIAO","9","","","545984.701984901","usd","0.0003532200000000085","192.85"
"token","1","0x7afa9d836d2fccf172b66622625e56404e465dbd","0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48","USD Coin","USDC","6","","","690122.556559","usd","0.999901","690054.23"
"token","1","0x7afa9d836d2fccf172b66622625e56404e465dbd","0xa35923162c49cf95e6bf26623385eb431ad920d3","Turbo","TURBO","18","","","3655669.166986945","usd","0.00551462","20159.63"
"token","1","0x7afa9d836d2fccf172b66622625e56404e465dbd","0xa9e8acf069c58aec8825542845fd754e41a9489a","pepeCoin","pepecoin","18","","","5967.293633198042","usd","0.481425","2872.8"
"token","1","0x7afa9d836d2fccf172b66622625e56404e465dbd","0xaa95f26e30001251fb905d264aa7b00ee9df6c18","Kendu Inu","Kendu","18","","","389027945.01225686","usd","0.00003945","15347.15"
"token","1","0x7afa9d836d2fccf172b66622625e56404e465dbd","0xaaee1a9723aadb7afa2810263653a34ba2c21c7a","Mog Coin","Mog","18","","","38698741171.630066","usd","0.00000111","42955.6"
"token","1","0x7afa9d836d2fccf172b66622625e56404e465dbd","0xaea46a60368a7bd060eec7df8cba43b7ef41ad85","Fetch","FET","18","","","6845.399286221715","usd","0.791492","5418.08"
"token","1","0x7afa9d836d2fccf172b66622625e56404e465dbd","0xb90b2a35c65dbc466b04240097ca756ad2005295","BOBO","BOBO","18","","","23090068760.347725","usd","5.25273e-7","12128.59"
"token","1","0x7afa9d836d2fccf172b66622625e56404e465dbd","0xb9f599ce614feb2e1bbe58f180f370d05b39344e","PepeFork","PORK","18","","","141948805610.74026","usd","2.804e-8","3980.24"
"token","1","0x7afa9d836d2fccf172b66622625e56404e465dbd","0xd29da236dd4aac627346e1bba06a619e8c22d7c5","MAGA","MAGA","9","","","110958160.22889052","usd","0.00001334","1480.18"
"token","1","0x7afa9d836d2fccf172b66622625e56404e465dbd","0xd31a59c85ae9d8edefec411d448f90841571b89c","Wrapped SOL","SOL","9","","","466.795425272","usd","175.7","82015.96"
"token","1","0x7afa9d836d2fccf172b66622625e56404e465dbd","0xdac17f958d2ee523a2206206994597c13d831ec7","Tether USD","USDT","6","","","275757.465744","usd","1","275757.47"
"token","1","0x7afa9d836d2fccf172b66622625e56404e465dbd","0xe0f63a424a4439cbe457d80e4f4b51ad25b2c56c","SPX6900","SPX","8","","","235933.75872344","usd","0.726884","171496.47"
"token","1","0x7afa9d836d2fccf172b66622625e56404e465dbd","0xee2a03aa6dacf51c18679c516ad5283d8e7c2637","Neiro","NEIRO","9","","","113761.992022877","usd","0.09135","10392.16"
"token","1","0x7afa9d836d2fccf172b66622625e56404e465dbd","0xf94e7d0710709388bce3161c32b4eea56d3f91cc","Destra Network","DSync","18","","","180221.9642290185","usd","0.154032","27759.95"
"token","1","0x7afa9d836d2fccf172b66622625e56404e465dbd","0x000000000000012def132e61759048be5b5c6033","Cortex","CX","18","","","10.649311821245247","usd","0.04300554","0.46"
"token","1","0x7afa9d836d2fccf172b66622625e56404e465dbd","0x00000000000007c8612ba63df8ddefd9e6077c97","NANI","⌘","18","","","836.4207194129688","usd","0.00785018","6.57"
"token","1","0x7afa9d836d2fccf172b66622625e56404e465dbd","0x0000000000085d4780b73119b644ae5ecd22b376","TrueUSD","TUSD","18","","","3.1547186128859543","usd","0.998063","3.15"
"token","1","0x7afa9d836d2fccf172b66622625e56404e465dbd","0x0000000000095413afc295d19edeb1ad7b71c952","Tokenlon","LON","18","","","0.12332570111735502","usd","0.748818","0.09"
"token","1","0x7afa9d836d2fccf172b66622625e56404e465dbd","0x0000000000300dd8b0230efcfef136ecdf6abcde","DegenX","DGNX","18","","","54.48346240668007","usd","0.012294069999999999","0.67"
"token","1","0x7afa9d836d2fccf172b66622625e56404e465dbd","0x0000000000c5dc95539589fbd24be07c6c14eca4","Milady Cult Coin","CULT","18","","","5727606.169460582","usd","0.00093801","5372.55"
"token","1","0x7afa9d836d2fccf172b66622625e56404e465dbd","0x00000000051b48047be6dc0ada6de5c3de86a588","Baby Shiba Inu","BABYSHIB","18","","","84718.1607524198","usd","0.0008788100000000016","74.45"
"token","1","0x7afa9d836d2fccf172b66622625e56404e465dbd","0x000000000a1c6659ac226dbb1c5bdc648df72e9e","Looter","LOOTER","18","","","2478.8375621728064","usd","0.016852819999999998","41.78"
"token","1","0x7afa9d836d2fccf172b66622625e56404e465dbd","0x00000000efe302beaa2b3e6e1b18d08d69a9012a","AUSD","AUSD","6","","","6.694154","usd","1.001","6.7"
"token","1","0x7afa9d836d2fccf172b66622625e56404e465dbd","0x0000003ceede5c40e5187784d3e8dd5b43dc85f6","Cultel","CULTEL","9","","","21860765.3533217","usd","2.1098800000304e-7","4.61"
"token","1","0x7afa9d836d2fccf172b66622625e56404e465dbd","0x000000c396558ffbab5ea628f39658bdf61345b3","Bunni","BUNNI","18","","","22.04765826930399","usd","0.01020535","0.23"
"token","1","0x7afa9d836d2fccf172b66622625e56404e465dbd","0x0000206329b97db379d5e1bf586bbdb969c63274","USDA","USDA","18","","","4.531269033142653","usd","1.025","4.64"
"token","1","0x7afa9d836d2fccf172b66622625e56404e465dbd","0x0000bdaa645097ef80f9d475f341d0d107a45b3a","Brainlet","BRAINLET","18","","","445534.1193060034","usd","0.00008542","38.06"
"token","1","0x7afa9d836d2fccf172b66622625e56404e465dbd","0x0001a500a6b18995b03f44bb040a5ffc28e45cb0","Autonolas","OLAS","18","","","1474.5907367705836","usd","0.303202","447.1"
"token","1","0x7afa9d836d2fccf172b66622625e56404e465dbd","0x001823d353a2d71ad744599390cbb2f8240afda9","cherrypicksAI","CHERRY","18","","","677.5534531936378","usd","0.0011166699999999904","0.76"
"token","1","0x7afa9d836d2fccf172b66622625e56404e465dbd","0x00199c511dc889b8155fa425fc0363ed481e8f48","BRICK","Brick Block","18","","","2199.138375227689","usd","0.00012283000000000172","0.27"
"token","1","0x7afa9d836d2fccf172b66622625e56404e465dbd","0x0026dfbd8dbb6f8d0c88303cc1b1596409fda542","SANSHU!","SANSHU!","18","","","5793.840728783143","usd","0.0004140600000000011","2.4"
"token","1","0x7afa9d836d2fccf172b66622625e56404e465dbd","0x00282fd551d03dc033256c4bf119532e8c735d8a","Biaocoin","BIAO","2","","","76627707.21","usd","2.3944699999118e-7","18.35"
"token","1","0x7afa9d836d2fccf172b66622625e56404e465dbd","0x004e9c3ef86bc1ca1f0bb5c7662861ee93350568","uniBTC","uniBTC","8","","","4.1e-7","usd","104334.99999999999","0.04"
"token","1","0x7afa9d836d2fccf172b66622625e56404e465dbd","0x004f747a91e05d0e2fbe8bf3cd39cdb2bcfab02c","TWEET","TWEET","18","","","2774.520326753188","usd","0.05434400000000001","150.78"
"token","1","0x7afa9d836d2fccf172b66622625e56404e465dbd","0x0058c8581b9fed6864faa654505bc89890cdb2dd","BabySmurf9000","BS9000","9","","","178590.083293055","usd","0.00002974999999998722","5.31"
"token","1","0x7afa9d836d2fccf172b66622625e56404e465dbd","0x005d1123878fc55fbd56b54c73963b234a64af3c","Kiba Inu","KIBA","18","","","50329510.19862451","usd","7.0131200000077e-7","35.3"
"token","1","0x7afa9d836d2fccf172b66622625e56404e465dbd","0x006bea43baa3f7a6f765f14f10a1a1b08334ef45","Stox","STX","18","","","699.2406385440471","usd","0.010255709999999989","7.17"
"token","1","0x7afa9d836d2fccf172b66622625e56404e465dbd","0x00aba6fe5557de1a1d565658cbddddf7c710a1eb","EASY V2","EZ","18","","","21.601801029098013","usd","0.00926062","0.2"
"token","1","0x7afa9d836d2fccf172b66622625e56404e465dbd","0x00b78238925c320159023c2ac9ef89da8f16d007","VPS AI","VPS","18","","","7617.46883435284","usd","0.009679670000000001","73.73"
"token","1","0x7afa9d836d2fccf172b66622625e56404e465dbd","0x00c2999c8b2adf4abc835cc63209533973718eb1","New World Order","STATE","18","","","21885971706.101322","usd","2.98599876e-12","0.07"
"token","1","0x7afa9d836d2fccf172b66622625e56404e465dbd","0x00c5ca160a968f47e7272a0cfcda36428f386cb6","USDEBT","USDEBT","18","","","3127994.0811304785","usd","3.00300000172e-9","0.01"
"token","1","0x7afa9d836d2fccf172b66622625e56404e465dbd","0x00c83aecc790e8a4453e5dd3b0b4b3680501a7a7","SKALE","SKL","18","","","6539.865451283234","usd","0.02481693","162.3"
"token","1","0x7afa9d836d2fccf172b66622625e56404e465dbd","0x00f116ac0c304c570daaa68fa6c30a86a04b5c5f","INFERNO","INF","18","","","36140498.429096684","usd","1.89739e-7","6.86"
"token","1","0x7afa9d836d2fccf172b66622625e56404e465dbd","0x0100546f2cd4c9d97f798ffc9755e47865ff7ee6","Alchemix ETH","alETH","18","","","0.000406734032245966","usd","2487.88","1.01"
"token","1","0x7afa9d836d2fccf172b66622625e56404e465dbd","0x0101013d11e4320d29759f40508c61110f525211","Beer Frog","FROG","9","","","701117.596826495","usd","0.00015451000000000096","108.33"
"token","1","0x7afa9d836d2fccf172b66622625e56404e465dbd","0x01043bf843b88e1182b1db27bdcc93999aa74c56","TAOTools","TAOTOOLS","18","","","13.854434132778598","usd","0.011730079999999999","0.16"
"token","1","0x7afa9d836d2fccf172b66622625e56404e465dbd","0x0113c07b3b8e4f41b62d713b5b12616bf2856585","Hokkaido Inu","HINU","9","","","349967292.0165483","usd","1.874500000745e-8","6.56"
"token","1","0x7afa9d836d2fccf172b66622625e56404e465dbd","0x011e128ec62840186f4a07e85e3ace28858c5606","Valeria","VAL","18","","","250.77364283112155","usd","0.0006293299999999918","0.16"
"token","1","0x7afa9d836d2fccf172b66622625e56404e465dbd","0x013062189dc3dcc99e9cee714c513033b8d99e3c","Bware","INFRA","18","","","17.513788606347525","usd","0.136321","2.39"
"token","1","0x7afa9d836d2fccf172b66622625e56404e465dbd","0x0138f5e99cfdffbacf36e543800c19ef16fa294b","Prophet","PROPHT","18","","","16.520561803509448","usd","0.02294618000000001","0.38"
"token","1","0x7afa9d836d2fccf172b66622625e56404e465dbd","0x014337b35167b3711195361bb85259009e50a8a4","DecentraNode","DNODE","9","","","0.120903015","usd","1.0750000000000002","0.13"
"token","1","0x7afa9d836d2fccf172b66622625e56404e465dbd","0x0176b898e92e814c06cc379e508ceb571f70bd40","Tip","TIP","18","","","119476.86294996369","usd","0.00001549000000001155","1.85"
"token","1","0x7afa9d836d2fccf172b66622625e56404e465dbd","0x017e9db34fc69af0dc7c7b4b33511226971cddc7","On-Chain Dynamics","OCD","18","","","24281.49979444028","usd","0.00005478999999998993","1.33"
"token","1","0x7afa9d836d2fccf172b66622625e56404e465dbd","0x01824357d7d7eaf4677bc17786abd26cbdec9ad7","Forward","$FORWARD","18","","","6923.73251153804","usd","0.00063331","4.38"
"token","1","0x7afa9d836d2fccf172b66622625e56404e465dbd","0x018dd3a0dd7f213cc822076b3800816d3ce1ed86","HotKeySwap","HOTKEY","18","","","30261.84806439408","usd","0.007432780000000004","224.93"
"token","1","0x7afa9d836d2fccf172b66622625e56404e465dbd","0x01aac2b594f7bdbec740f0f1aa22910ebb4b74ab","Unio Coin","UNIO","18","","","3203.8998858114537","usd","0.00022689999999998855","0.73"
"token","1","0x7afa9d836d2fccf172b66622625e56404e465dbd","0x01ba67aac7f75f647d94220cc98fb30fcc5105bf","Lyra Token","LYRA","18","","","334.23537441105196","usd","0.00032376999999999596","0.11"
"token","1","0x7afa9d836d2fccf172b66622625e56404e465dbd","0x01e1d7cbd3bc0eb1030485f33708421011459459","TOAD","TOAD","18","","","679801077.6885655","usd","2.2226899999853e-7","151.1"
"token","1","0x7afa9d836d2fccf172b66622625e56404e465dbd","0x01eeffcd9a10266ed00946121df097eed173b43d","XDoge","XD","18","","","22278813997.88931","usd","3.3977699339e-10","7.57"
"token","1","0x7afa9d836d2fccf172b66622625e56404e465dbd","0x01ff50f8b7f74e4f00580d9596cd3d0d6d6e326f","BF Token","BFT","18","","","11745.832709602219","usd","0.0015852899999999979","18.62"
"token","1","0x7afa9d836d2fccf172b66622625e56404e465dbd","0x0202be363b8a4820f3f4de7faf5224ff05943ab1","UniLend Finance Token","UFT","18","","","62.25972429218944","usd","0.009056610000000003","0.56"
"token","1","0x7afa9d836d2fccf172b66622625e56404e465dbd","0x0257ffd7ea2ebba4aaa090c7adbdd032a08c1f74","ZELIX","ZELIX","18","","","154105.96359505598","usd","0.00002577999999999433","3.97"
"token","1","0x7afa9d836d2fccf172b66622625e56404e465dbd","0x0258f474786ddfd37abce6df6bbb1dd5dfc4434a","Orion Protocol","ORN","8","","","132.02493268","usd","0.345851","45.66"
"token","1","0x7afa9d836d2fccf172b66622625e56404e465dbd","0x0262e9374e95b9667b78136c3897cb4e4ef7f0c2","MEDIFAKT","FAKT","18","","","109.99399470710294","usd","0.00043969","0.05"
"token","1","0x7afa9d836d2fccf172b66622625e56404e465dbd","0x02d7a93829b365b7ad4c582dace1493aac50a290","Scat","CAT","18","","","27625541632.618095","usd","1.0519300365e-10","2.91"
