"Object","Chain Id","Account Address","Address","Name","Symbol","Decimals","Icon Url","Raw Balance","Balance","Currency","Price","Market Value"
"token","1","0x55d398326f99059ff775485246999027b3197955","0x0000000000085d4780b73119b644ae5ecd22b376","TrueUSD","TUSD","18","","","0.60716949","usd","0.996002","0.6"
"token","1","0x55d398326f99059ff775485246999027b3197955","0x059956483753947536204e89bfad909e1a434cc6","MLTToken","ML","18","","","1468.5","usd","0.03364225","49.4"
"token","1","0x55d398326f99059ff775485246999027b3197955","0x0c37bcf456bc661c14d596683325623076d7e283","Aeron","ARNX","18","","","358896.634530113","usd","0.00000144000000000069","0.52"
"token","1","0x55d398326f99059ff775485246999027b3197955","0x2da719db753dfa10a62e140f436e1d67f2ddb0d6","CERE Network","CERE","10","","","103066.6666666667","usd","0.00127214","131.12"
"token","1","0x55d398326f99059ff775485246999027b3197955","0x2e7e487d84b5baba5878a9833fb394bc89633fd7","OMNIA Protocol","OMNIA","18","","","666.67","usd","0.022705979999999997","15.14"
"token","1","0x55d398326f99059ff775485246999027b3197955","0x393f1d49425d94f47b26e591a9d111df5cd61065","GUA","GUA","18","","","58888","usd","0.00003178999999998944","1.87"
"token","1","0x55d398326f99059ff775485246999027b3197955","0x455e53cbb86018ac2b8092fdcd39d8444affc3f6","Polygon Ecosystem Token","POL","18","","","417.88","usd","0.232178","97.02"
"token","1","0x55d398326f99059ff775485246999027b3197955","0x45804880de22913dafe09f4980848ece6ecbaf78","Paxos Gold","PAXG","18","","","0.061689699592","usd","3212.51","198.18"
"token","1","0x55d398326f99059ff775485246999027b3197955","0x487d62468282bd04ddf976631c23128a425555ee","UPCX","UPC","5","","","0.4","usd","3.91","1.56"
"token","1","0x55d398326f99059ff775485246999027b3197955","0x4d224452801aced8b2f0aebe155379bb5d594381","ApeCoin","APE","18","","","166.04979143","usd","0.639709","106.22"
"token","1","0x55d398326f99059ff775485246999027b3197955","0x4fabb145d64652a948d72533023f6e7a623c7c53","BUSD","BUSD","18","","","1711.5938789025759","usd","0.98391","1684.05"
"token","1","0x55d398326f99059ff775485246999027b3197955","0x4fbb350052bca5417566f188eb2ebce5b19bc964","Rigo Token","GRG","18","","","0.025","usd","0.712309","0.02"
"token","1","0x55d398326f99059ff775485246999027b3197955","0x5283d291dbcf85356a21ba090e6db59121208b44","Blur","BLUR","18","","","703.8046","usd","0.105263","74.08"
"token","1","0x55d398326f99059ff775485246999027b3197955","0x5e74c9036fb86bd7ecdcb084a0673efc32ea31cb","Synth sETH","sETH","18","","","0.01","usd","2282.42","22.82"
"token","1","0x55d398326f99059ff775485246999027b3197955","0x69b14e8d3cebfdd8196bfe530954a0c226e5008e","SpacePi Token","SpacePi","9","","","88888888","usd","1.03899999164e-9","0.09"
