"Object","Chain Id","Account Address","Address","Name","Symbol","Decimals","Icon Url","Raw Balance","Balance","Currency","Price","Market Value"
"token","43114","0xf977814e90da44bfa03b6295a0616a897441acec","0x9702230a8ea53601f5cd2dc00fdbc13d4df4a8c7","Tether","USDT","6","https://assets.coingecko.com/coins/images/325/thumb/Tether.png?1696501661","8867977","8.867977","usd","1","8.867977"
"token","43114","0xf977814e90da44bfa03b6295a0616a897441acec","0x0000000000000000000000000000000000000000","Avalanche","AVAX","18","https://token.api.cx.metamask.io/assets/nativeCurrencyLogos/avalanche.svg","288398516914372602","0.2883985169143726","usd","23.74","6.846580791547206"
"token","1285","0xf977814e90da44bfa03b6295a0616a897441acec","0x0000000000000000000000000000000000000000","Moonriver","MOVR","18","https://token.api.cx.metamask.io/assets/nativeCurrencyLogos/moonriver.svg","3171620705500128368313964","3171620.705500128","usd","7.49","23755439.08419596"
"token","1284","0xf977814e90da44bfa03b6295a0616a897441acec","0x511ab53f793683763e5a8829738301368a2411e3","Moonwell","WELL","18","https://assets.coingecko.com/coins/images/26133/thumb/WELL.png?1696525221","10000000000000000000","10","usd","0.03214917","0.3214917"
"token","1284","0xf977814e90da44bfa03b6295a0616a897441acec","0x0000000000000000000000000000000000000000","Glimmer","GLMR","18","https://token.api.cx.metamask.io/assets/nativeCurrencyLogos/glimmer.svg","196952255240909663854482588","196952255.24090967","usd","0.096527","19011210.341639288"
"token","324","0xf977814e90da44bfa03b6295a0616a897441acec","0x1d17cbcf0d6d143135ae902365d2e5e2a16538d4","USDC","USDC","6","https://assets.coingecko.com/coins/images/6319/thumb/usdc.png?1696506694","59137227528000","59137227.528","usd","0.999852","59128475.21832585"
"token","324","0xf977814e90da44bfa03b6295a0616a897441acec","0x787c09494ec8bcb24dcaf8659e7d5d69979ee508","Maverick Protocol","MAV","18","https://assets.coingecko.com/coins/images/30850/thumb/MAV_Logo.png?1696529701","2000000000000000000000000","2000000","usd","0.071333","142666"
"token","324","0xf977814e90da44bfa03b6295a0616a897441acec","0x3355df6d4c9c3035724fd0e3914de96a5a83aaf4","zkSync Bridged USDC  zkSync ","USDC","6","https://assets.coingecko.com/coins/images/35262/thumb/USDC_Icon.png?1708008941","56167","0.056167","usd","0.9999","0.0561613833"
"token","324","0xf977814e90da44bfa03b6295a0616a897441acec","0x5a7d6b2f92c77fad6ccabd7ee0624e64907eaf3e","ZKsync","ZK","18","https://assets.coingecko.com/coins/images/38043/thumb/ZKTokenBlack.png?1718614502","1125162807000000000000000000","1125162807","usd","0.070657","79500628.454199"
"token","324","0xf977814e90da44bfa03b6295a0616a897441acec","0x0000000000000000000000000000000000000000","Ether","ETH","18","https://token.api.cx.metamask.io/assets/nativeCurrencyLogos/ethereum.svg","135996325971500000","0.1359963259715","usd","2576.33","350.37141449015456"
"token","250","0xf977814e90da44bfa03b6295a0616a897441acec","0x2f6f07cdcf3588944bf4c42ac74ff24bf56e7590","Stargate Finance","STG","18","https://assets.coingecko.com/coins/images/24413/thumb/STG_LOGO.png?1696523595","6000000000000000000000000","6000000","usd","0.207097","1242582"
"token","250","0xf977814e90da44bfa03b6295a0616a897441acec","0xbf60e7414ef09026733c1e7de72e7393888c64da","LIF3  OLD ","LIF3","18","https://assets.coingecko.com/coins/images/26007/thumb/LIF3.png?1696525084","100000000000000000000000","100000","usd","0.00234045","234.045"
"token","250","0xf977814e90da44bfa03b6295a0616a897441acec","0x0000000000000000000000000000000000000000","FANTOM","FTM","18","https://token.api.cx.metamask.io/assets/nativeCurrencyLogos/ftm.svg","952489335012583940","0.9524893350125839","usd","0.604426","0.5757093188043161"
